category,metric,reading,value
guardrail,target_loss_blindness,rules do not use target residual after being fixed,27/27 pass; max_delta_kappa=0.000e+00; max_delta_correction=0.000e+00
guardrail,target_exclusion,target curve is excluded from source calibration,27/27
robustness,scale_slices,improvement is not carried by a single scale,scale_25 mean=-32.4% worst=-16.3% nonharm=6/6; scale_100 mean=-36.2% worst=-8.8% nonharm=6/6; scale_400 mean=-39.8% worst=-7.0% nonharm=6/6
robustness,local_tau_window,the selected tau values are locally stable,"0.75x worst=-7.7%, 1.25x worst=-3.2%"
fragility,wide_tau_window,"large tau changes break some cells, so tau is not arbitrary","1.5x nonharm=16/18, 2x nonharm=14/18"
fragility,short_smooth_gate,safety gate is necessary and must be presented as a limitation,without gate worst=+154.0%
fragility,fixed_tau,one universal tau is insufficient on the current curves,fixed_tau_1024 worst=+5.5%
complexity,route_degrees_of_freedom,too much to claim prospectively tuned external generalization,"5 route classes, 5 nonzero tau values, 3 nuisance choices for 18 core target-scale cells"
scope,source_family_overlap,target-holdout is stronger than self-fit but weaker than leave-family validation,4/6 target routes use a same-family source
scope,claim_strength,do not present the shape-routed head as fully proven on unseen training regimes,"internal public-curve target-holdout, not external prospective validation"
